"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Código (Amostragem Biológica - Organismo à Organismo)";"Amostragem Biológica - Organismo à Organismo > ID - Amostra";"Amostragem Biológica - Organismo à Organismo > ID - Indivíduo";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Código)";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Rótulo)";"Amostragem Biológica - Organismo à Organismo > Sexo";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Macho";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Fêmea";"Amostragem Biológica - Organismo à Organismo > Comprimento total - CT (cm)";"Amostragem Biológica - Organismo à Organismo > Comprimento padrão - CP (cm)";"Amostragem Biológica - Organismo à Organismo > Peso total - PT (g)";"Amostragem Biológica - Organismo à Organismo > Peso eviscerado - PEvis (g)";"Amostragem Biológica - Organismo à Organismo > Peso do fígado - PFig (g)";"Amostragem Biológica - Organismo à Organismo > Peso do estômago - PEst (g)";"Amostragem Biológica - Organismo à Organismo > Peso da gônoda - PGon (g)";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento das gônadas para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento do estômago para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de músculo para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de otólitos para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Selecione qual dos otólitos foi reservado para amostragem posterior"
"1.1263554";"1.1263554.0";"219";"1616";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,5";"30,1";"655,92";"574,94";"13,68";"13,16";"";"";"";"";"";""
"1.1263554";"1.1263554.1";"219";"1617";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"40,4";"31,3";"707,19";"613,37";"16,41";"9,14";"9,71";"";"";"";"";""
"1.1263554";"1.1263554.2";"219";"1618";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"";"27,4";"532,03";"447,39";"8,81";"10,1";"";"";"";"";"";""
"1.1263554";"1.1263554.3";"219";"1619";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,00";"24,4";"305,22";"270,99";"4,26";"13,14";"0,6";"";"";"";"";""
"1.1263554";"1.1263554.4";"219";"1620";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,9";"26,9";"453,97";"391,1";"3,54";"11,74";"";"";"";"";"";""
"1.1263554";"1.1263554.5";"219";"1621";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,00";"25,00";"355,97";"318,73";"4,68";"10,09";"";"";"";"";"";""
"1.1263554";"1.1263554.6";"219";"1622";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,6";"25,4";"346,28";"321,88";"3,00";"7,9";"0,56";"";"";"";"";""
"1.1263554";"1.1263554.7";"219";"1623";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,6";"24,6";"315,22";"283,05";"4,84";"8,9";"";"";"";"";"";""
"1.1263554";"1.1263554.8";"219";"1624";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,00";"26,00";"401,5";"355,68";"7,36";"8,36";"";"";"";"";"";""
"1.1263554";"1.1263554.9";"219";"1625";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"30,00";"24,4";"242,74";"225,19";"";"";"1,07";"";"";"";"";""
