"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1263554";"24/03/2025";"#219";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"08/04/2025 17:52";"08/04/2025 17:52";""
"1.1263538";"05/04/2025";"#218";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"08/04/2025 17:33";"08/04/2025 17:33";""
"1.1263492";"06/04/2025";"#220";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"08/04/2025 16:54";"08/04/2025 16:54";""
"1.1263481";"07/04/2025";"#222";"Região Centro-Sul";"Pesca artesanal";"Cabeçuda";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"08/04/2025 16:46";"08/04/2025 16:46";""
"1.1263428";"07/04/2025";"#221";"Região Centro-Sul";"Pesca artesanal";"Tesoura";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"08/04/2025 16:01";"08/04/2025 16:01";""
"1.1261983";"02/04/2025";"#217";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"07/04/2025 11:32";"07/04/2025 11:32";""
"1.1261883";"18/12/2024";"#166";"Região Centro-Sul";"Pesca artesanal";"Tesoura";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"07/04/2025 10:36";"07/04/2025 10:36";""
"1.1261873";"30/03/2025";"#212";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"07/04/2025 10:28";"07/04/2025 10:28";""
"1.1261854";"01/04/2025";"#214";"Região Centro-Sul";"Pesca artesanal";"Lagoas";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"07/04/2025 10:21";"07/04/2025 10:21";""
"1.1261835";"31/03/2025";"#213";"Região Centro-Sul";"Pesca artesanal";"Cabeçuda";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"07/04/2025 10:06";"07/04/2025 10:06";""
"1.1254652";"30/03/2025";"#211";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"31/03/2025 11:28";"31/03/2025 11:28";""
"1.1254605";"14/01/2025";"#171";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"31/03/2025 10:52";"31/03/2025 10:52";""
"1.1254550";"24/01/2025";"#175";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"31/03/2025 10:29";"31/03/2025 10:29";""
"1.1254451";"27/03/2025";"#210";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"31/03/2025 09:33";"31/03/2025 09:33";""
"1.1251949";"25/03/2025";"#209";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,6408192";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"27/03/2025 09:49";"27/03/2025 09:49";""
